SIZE,X/PVC/AL,X/STEEL,R/CU/PVC,R/CU/AL,R/CU/STEEL,R/AL/PVC,R/AL/AL,R/AL/STEEL
14,0.058,0.073,3.1,3.1,3.1,0,0,0
12,0.054,0.068,2,2,2,3.2,3.2,3.2
10,0.05,0.063,1.2,1.2,1.2,2,2,2
8,0.052,0.065,0.78,0.78,0.78,1.3,1.3,1.3
6,0.051,0.064,0.49,0.49,0.49,0.81,0.81,0.81
4,0.048,0.06,0.31,0.31,0.31,0.51,0.51,0.51
3,0.047,0.059,0.25,0.25,0.25,0.4,0.41,0.4
2,0.045,0.057,0.19,0.2,0.2,0.32,0.32,0.32
1,0.046,0.057,0.15,0.16,0.16,0.25,0.26,0.25
1/0,0.044,0.055,0.12,0.13,0.12,0.2,0.21,0.2
2/0,0.043,0.054,0.1,0.1,0.1,0.16,0.16,0.16
3/0,0.042,0.052,0.077,0.082,0.079,0.13,0.13,0.13
4/0,0.041,0.051,0.062,0.067,0.063,0.1,0.11,0.1
250,0.041,0.052,0.052,0.057,0.054,0.085,0.09,0.086
300,0.041,0.051,0.044,0.049,0.045,0.071,0.076,0.072
350,0.04,0.05,0.038,0.043,0.039,0.061,0.066,0.063
400,0.04,0.049,0.033,0.038,0.035,0.054,0.059,0.055
500,0.039,0.048,0.027,0.032,0.029,0.043,0.048,0.045
600,0.039,0.048,0.023,0.028,0.025,0.036,0.041,0.038
750,0.038,0.048,0.019,0.024,0.021,0.029,0.034,0.031
1000,0.037,0.046,0.015,0.019,0.018,0.023,0.027,0.025
